antecedents,consequents,confidence
"frozenset({'penyetan', 'tahu krispy', 'cireng isi'})",frozenset({'teh'}),0.75
"frozenset({'french fries', 'es jeruk', 'penyetan'})",frozenset({'teh'}),0.625
"frozenset({'es jeruk', 'sayur harian', 'gorengan'})",frozenset({'penyetan'}),0.5
"frozenset({'teh', 'kopi', 'es jeruk'})",frozenset({'penyetan'}),0.5294117647
"frozenset({'es jeruk', 'kopi', 'penyetan'})",frozenset({'teh'}),0.5
"frozenset({'es jeruk', 'mie', 'penyetan'})",frozenset({'teh'}),0.5675675676
"frozenset({'teh', 'sayur harian', 'es jeruk'})",frozenset({'penyetan'}),0.5
"frozenset({'teh', 'sosis goreng', 'es jeruk'})",frozenset({'penyetan'}),0.6428571429
"frozenset({'es jeruk', 'sosis goreng', 'penyetan'})",frozenset({'teh'}),0.6923076923
"frozenset({'penyetan', 'float', 'nasi putih'})",frozenset({'mie'}),0.9090909091
"frozenset({'teh', 'float', 'nasi putih'})",frozenset({'mie'}),0.8333333333
"frozenset({'french fries', 'penyetan', 'mie'})",frozenset({'teh'}),0.5625
"frozenset({'french fries', 'penyetan', 'tahu krispy'})",frozenset({'teh'}),0.6111111111
"frozenset({'kerupuk', 'teh', 'gorengan'})",frozenset({'penyetan'}),0.5909090909
"frozenset({'kerupuk', 'penyetan', 'gorengan'})",frozenset({'teh'}),0.52
"frozenset({'kopi', 'tahu krispy', 'gorengan'})",frozenset({'teh'}),0.6470588235
"frozenset({'mie', 'teh', 'nasi goreng'})",frozenset({'gorengan'}),0.5333333333
"frozenset({'teh', 'nasi goreng', 'gorengan'})",frozenset({'mie'}),0.5517241379
"frozenset({'mie', 'nasi goreng', 'gorengan'})",frozenset({'teh'}),0.6666666667
"frozenset({'penyetan', 'nasi putih', 'gorengan'})",frozenset({'mie'}),0.6470588235
"frozenset({'teh', 'nasi putih', 'gorengan'})",frozenset({'mie'}),0.7777777778
"frozenset({'penyetan', 'mie', 'gorengan'})",frozenset({'teh'}),0.7368421053
"frozenset({'gorengan', 'mie', 'pisang coklat keju'})",frozenset({'teh'}),0.625
"frozenset({'mie', 'tahu krispy', 'gorengan'})",frozenset({'teh'}),0.6666666667
"frozenset({'penyetan', 'nasi putih', 'gorengan'})",frozenset({'teh'}),0.5294117647
"frozenset({'penyetan', 'gorengan', 'pisang coklat keju'})",frozenset({'teh'}),0.6315789474
"frozenset({'penyetan', 'sosis goreng', 'gorengan'})",frozenset({'teh'}),0.8461538462
"frozenset({'penyetan', 'tahu krispy', 'gorengan'})",frozenset({'teh'}),0.7333333333
"frozenset({'penyetan', 'kopi', 'mie'})",frozenset({'teh'}),0.65
"frozenset({'penyetan', 'kopi', 'tahu krispy'})",frozenset({'teh'}),0.5789473684
"frozenset({'teh', 'nasi putih', 'penyetan'})",frozenset({'mie'}),0.7878787879
"frozenset({'mie', 'penyetan', 'nasi putih'})",frozenset({'teh'}),0.65
"frozenset({'teh', 'tahu krispy', 'nasi putih'})",frozenset({'mie'}),0.9285714286
"frozenset({'mie', 'tahu krispy', 'nasi putih'})",frozenset({'teh'}),0.7647058824
"frozenset({'tahu krispy', 'nasi putih'})","frozenset({'teh', 'mie'})",0.619047619
"frozenset({'penyetan', 'mie', 'pisang coklat keju'})",frozenset({'teh'}),0.6923076923
"frozenset({'penyetan', 'sosis goreng', 'mie'})",frozenset({'teh'}),0.8333333333
"frozenset({'mie', 'penyetan', 'tahu krispy'})",frozenset({'teh'}),0.652173913
"frozenset({'teh', 'sosis goreng', 'tahu krispy'})",frozenset({'penyetan'}),0.5
"frozenset({'penyetan', 'sosis goreng', 'tahu krispy'})",frozenset({'teh'}),0.9
"frozenset({'penyetan', 'mie', 'gorengan', 'cireng isi'})",frozenset({'teh'}),0.8181818182
